Gene ID	Transcript ID	StringTie ID	Chr	Location	Length	Classification	Exon number
BnaA01LNG0001700	BnaA01LNG0001700.1	MSTRG.1317.1	chrA01	8084051-8084598	547	u	1
BnaA01LNG0001800	BnaA01LNG0001800.1	MSTRG.1391.1	chrA01	8563437-8564867	1430	u	1
BnaA01LNG0001900	BnaA01LNG0001900.1	MSTRG.1451.1	chrA01	8936967-8939710	2743	o	3
BnaA01LNG0002000	BnaA01LNG0002000.1	MSTRG.1498.1	chrA01	9278715-9279483	768	u	1
BnaA01LNG0002100	BnaA01LNG0002100.1	MSTRG.1553.1	chrA01	9627519-9629287	1768	u	1
BnaA01LNG0002200	BnaA01LNG0002200.1	MSTRG.1564.1	chrA01	9731648-9733988	2340	u	1
BnaA01LNG0002300	BnaA01LNG0002300.1	MSTRG.1572.1	chrA01	9757925-9758233	308	u	1
BnaA01LNG0002400	BnaA01LNG0002400.1	MSTRG.1578.1	chrA01	9799677-9800093	416	u	1
BnaA01LNG0002500	BnaA01LNG0002500.1	MSTRG.1635.1	chrA01	10264953-10265965	1012	u	1
BnaA01LNG0002600	BnaA01LNG0002600.1	MSTRG.1649.1	chrA01	10378034-10381102	3068	u	1
BnaA01LNG0002700	BnaA01LNG0002700.1	MSTRG.1680.1	chrA01	10581980-10582963	983	u	1
BnaA01LNG0002800	BnaA01LNG0002800.1	MSTRG.1811.1	chrA01	12171543-12172451	908	u	1
BnaA01LNG0002900	BnaA01LNG0002900.1	MSTRG.1867.2	chrA01	12737221-12739111	1890	o	5
BnaA01LNG0003000	BnaA01LNG0003000.1	MSTRG.1865.1	chrA01	12749620-12750702	1082	u	1
BnaA01LNG0003100	BnaA01LNG0003100.1	MSTRG.1878.1	chrA01	12812627-12816499	3872	u	1
BnaA01LNG0003200	BnaA01LNG0003200.1	MSTRG.1878.3	chrA01	12812845-12816499	3654	u	2
BnaA01LNG0003300	BnaA01LNG0003300.1	MSTRG.1880.1	chrA01	12825667-12828037	2370	o	2
BnaA01LNG0003400	BnaA01LNG0003400.1	MSTRG.2061.1	chrA01	14921937-14924293	2356	u	1
BnaA01LNG0003500	BnaA01LNG0003500.1	MSTRG.2153.1	chrA01	15710105-15710377	272	u	1
BnaA01LNG0003600	BnaA01LNG0003600.1	MSTRG.2278.1	chrA01	16674393-16675383	990	u	1
BnaA01LNG0003700	BnaA01LNG0003700.1	MSTRG.2342.1	chrA01	17117829-17120848	3019	o	4
BnaA01LNG0003800	BnaA01LNG0003800.1	MSTRG.2378.1	chrA01	17445535-17446609	1074	u	1
BnaA01LNG0003900	BnaA01LNG0003900.1	MSTRG.2381.1	chrA01	17453080-17453587	507	u	1
BnaA01LNG0004000	BnaA01LNG0004000.1	MSTRG.2406.1	chrA01	17556839-17557099	260	u	1
BnaA01LNG0004100	BnaA01LNG0004100.1	MSTRG.2416.1	chrA01	17602940-17612755	9815	u	1
BnaA01LNG0004200	BnaA01LNG0004200.1	MSTRG.2491.1	chrA01	18158235-18163710	5475	u	1
BnaA01LNG0004300	BnaA01LNG0004300.1	MSTRG.2504.1	chrA01	18249906-18250355	449	u	1
BnaA01LNG0004400	BnaA01LNG0004400.1	MSTRG.2520.1	chrA01	18326346-18327642	1296	u	1
BnaA01LNG0004500	BnaA01LNG0004500.1	MSTRG.2618.1	chrA01	19105686-19107435	1749	u	1
BnaA01LNG0004600	BnaA01LNG0004600.1	MSTRG.2686.1	chrA01	19582363-19582849	486	u	1
BnaA01LNG0004700	BnaA01LNG0004700.1	MSTRG.2745.1	chrA01	19911838-19913508	1670	u	1
BnaA01LNG0004800	BnaA01LNG0004800.1	MSTRG.2749.1	chrA01	19937396-19938891	1495	u	1
BnaA01LNG0004900	BnaA01LNG0004900.1	MSTRG.2759.1	chrA01	19969438-19973733	4295	u	1
BnaA01LNG0005000	BnaA01LNG0005000.1	MSTRG.2808.1	chrA01	20196974-20197884	910	u	1
BnaA01LNG0005100	BnaA01LNG0005100.1	MSTRG.2830.1	chrA01	20335761-20337342	1581	u	1
BnaA01LNG0005200	BnaA01LNG0005200.1	MSTRG.2832.1	chrA01	20376979-20378045	1066	u	1
BnaA01LNG0005300	BnaA01LNG0005300.1	MSTRG.2866.1	chrA01	20554803-20555327	524	u	1
BnaA01LNG0005400	BnaA01LNG0005400.1	MSTRG.2919.1	chrA01	20739824-20740566	742	x	2
BnaA01LNG0005500	BnaA01LNG0005500.1	MSTRG.2890.1	chrA01	20756484-20758267	1783	u	1
BnaA01LNG0005600	BnaA01LNG0005600.1	MSTRG.3019.1	chrA01	21574358-21575055	697	i	2
BnaA01LNG0005700	BnaA01LNG0005700.1	MSTRG.3040.5	chrA01	21707328-21708544	1216	o	4
BnaA01LNG0005800	BnaA01LNG0005800.1	MSTRG.3027.1	chrA01	21788953-21789684	731	u	1
BnaA01LNG0005900	BnaA01LNG0005900.1	MSTRG.3083.1	chrA01	22148655-22149168	513	u	1
BnaA01LNG0006000	BnaA01LNG0006000.1	MSTRG.3139.1	chrA01	22637336-22638236	900	u	1
BnaA01LNG0006100	BnaA01LNG0006100.1	MSTRG.3147.1	chrA01	22752218-22753627	1409	u	1
BnaA01LNG0006200	BnaA01LNG0006200.1	MSTRG.3206.1	chrA01_random	12373-13434	1061	u	1
BnaA01LNG0006300	BnaA01LNG0006300.1	MSTRG.3240.1	chrA01_random	168932-174833	5901	u	1
BnaA01LNG0006400	BnaA01LNG0006400.1	MSTRG.3241.1	chrA01_random	183092-183800	708	u	1
BnaA01LNG0006500	BnaA01LNG0006500.1	MSTRG.3243.1	chrA01_random	189253-190619	1366	u	1
BnaA01LNG0006600	BnaA01LNG0006600.1	MSTRG.3344.1	chrA01_random	923395-923690	295	u	1
BnaA01LNG0006700	BnaA01LNG0006700.1	MSTRG.3370.1	chrA01_random	1321588-1323744	2156	u	1
BnaA01LNG0006800	BnaA01LNG0006800.1	MSTRG.3382.1	chrA01_random	1473477-1476546	3069	o	2
BnaA01LNG0006900	BnaA01LNG0006900.1	MSTRG.3382.4	chrA01_random	1474497-1476546	2049	o	2
BnaA01LNG0007000	BnaA01LNG0007000.1	MSTRG.3468.1	chrA01_random	2062303-2062998	695	u	1
BnaA02LNG0000100	BnaA02LNG0000100.1	MSTRG.3686.2	chrA02	907469-908617	1148	o	2
BnaA02LNG0000200	BnaA02LNG0000200.1	MSTRG.3927.1	chrA02	2002469-2003197	728	u	1
BnaA02LNG0000300	BnaA02LNG0000300.1	MSTRG.3936.1	chrA02	2041854-2042711	857	u	1
BnaA02LNG0000400	BnaA02LNG0000400.1	MSTRG.4002.4	chrA02	2446179-2448218	2039	o	3
BnaA02LNG0000500	BnaA02LNG0000500.1	MSTRG.4023.1	chrA02	2627694-2628319	625	u	1
BnaA02LNG0000600	BnaA02LNG0000600.1	MSTRG.4214.1	chrA02	3890532-3892209	1677	u	1
BnaA02LNG0000700	BnaA02LNG0000700.1	MSTRG.4224.1	chrA02	3955563-3956317	754	u	1
BnaA02LNG0000800	BnaA02LNG0000800.1	MSTRG.4231.1	chrA02	3978016-3978841	825	u	1
BnaA02LNG0000900	BnaA02LNG0000900.1	MSTRG.4232.1	chrA02	3980585-3980890	305	u	1
BnaA02LNG0001000	BnaA02LNG0001000.1	MSTRG.4273.1	chrA02	4333973-4334507	534	u	1
BnaA02LNG0001100	BnaA02LNG0001100.1	MSTRG.4365.1	chrA02	4800940-4801293	353	u	1
BnaA02LNG0001200	BnaA02LNG0001200.1	MSTRG.4435.1	chrA02	5174721-5176784	2063	u	1
BnaA02LNG0001300	BnaA02LNG0001300.1	MSTRG.4454.1	chrA02	5281519-5281884	365	u	1
BnaA02LNG0001400	BnaA02LNG0001400.1	MSTRG.4455.1	chrA02	5282167-5282687	520	u	1
BnaA02LNG0001500	BnaA02LNG0001500.1	MSTRG.4466.1	chrA02	5310563-5311426	863	u	1
BnaA02LNG0001600	BnaA02LNG0001600.1	MSTRG.4641.1	chrA02	6474131-6474816	685	u	1
BnaA02LNG0001700	BnaA02LNG0001700.1	MSTRG.4667.1	chrA02	6653830-6654217	387	u	1
BnaA02LNG0001800	BnaA02LNG0001800.1	MSTRG.4668.1	chrA02	6656513-6656898	385	u	1
BnaA02LNG0001900	BnaA02LNG0001900.1	MSTRG.4681.1	chrA02	6740493-6741284	791	u	1
BnaA02LNG0002000	BnaA02LNG0002000.1	MSTRG.4682.1	chrA02	6741711-6742712	1001	u	1
BnaA02LNG0002100	BnaA02LNG0002100.1	MSTRG.4706.1	chrA02	6880834-6881089	255	u	1
BnaA02LNG0002200	BnaA02LNG0002200.1	MSTRG.4710.1	chrA02	6945745-6946226	481	u	1
BnaA02LNG0002300	BnaA02LNG0002300.1	MSTRG.4850.1	chrA02	7740437-7741624	1187	u	1
BnaA02LNG0002400	BnaA02LNG0002400.1	MSTRG.4902.1	chrA02	8151522-8151939	417	u	1
BnaA02LNG0002500	BnaA02LNG0002500.1	MSTRG.4963.1	chrA02	8521326-8522082	756	u	1
BnaA02LNG0002600	BnaA02LNG0002600.1	MSTRG.5049.1	chrA02	9074132-9075129	997	u	1
BnaA02LNG0002700	BnaA02LNG0002700.1	MSTRG.5051.1	chrA02	9083115-9083800	685	u	1
BnaA02LNG0002800	BnaA02LNG0002800.1	MSTRG.5069.1	chrA02	9169761-9170675	914	u	1
BnaA02LNG0002900	BnaA02LNG0002900.1	MSTRG.5152.1	chrA02	9755521-9756212	691	u	1
BnaA02LNG0003000	BnaA02LNG0003000.1	MSTRG.5165.1	chrA02	9831624-9838680	7056	u	1
BnaA02LNG0003100	BnaA02LNG0003100.1	MSTRG.5236.1	chrA02	10427548-10428131	583	u	1
BnaA02LNG0003200	BnaA02LNG0003200.1	MSTRG.5307.1	chrA02	10737142-10737526	384	u	1
BnaA02LNG0003300	BnaA02LNG0003300.1	MSTRG.5438.1	chrA02	11847131-11847511	380	u	1
BnaA02LNG0003400	BnaA02LNG0003400.1	MSTRG.5485.1	chrA02	12061924-12063203	1279	u	1
BnaA02LNG0003500	BnaA02LNG0003500.1	MSTRG.5559.1	chrA02	12487331-12487542	211	u	1
BnaA02LNG0003600	BnaA02LNG0003600.1	MSTRG.5565.1	chrA02	12547548-12547928	380	u	1
BnaA02LNG0003700	BnaA02LNG0003700.1	MSTRG.5582.1	chrA02	12601387-12601750	363	u	1
BnaA02LNG0003800	BnaA02LNG0003800.1	MSTRG.5583.1	chrA02	12610942-12611744	802	u	1
BnaA02LNG0003900	BnaA02LNG0003900.1	MSTRG.5585.1	chrA02	12650871-12651982	1111	u	1
BnaA02LNG0004000	BnaA02LNG0004000.1	MSTRG.5633.1	chrA02	13121942-13122313	371	u	1
BnaA02LNG0004100	BnaA02LNG0004100.1	MSTRG.5668.1	chrA02	13443244-13443714	470	u	1
BnaA02LNG0004200	BnaA02LNG0004200.1	MSTRG.5719.1	chrA02	13914208-13915310	1102	u	1
BnaA02LNG0004300	BnaA02LNG0004300.1	MSTRG.5859.1	chrA02	15120279-15121001	722	u	1
BnaA02LNG0004400	BnaA02LNG0004400.1	MSTRG.5880.1	chrA02	15283640-15284579	939	u	1
BnaA02LNG0004500	BnaA02LNG0004500.1	MSTRG.5882.1	chrA02	15289131-15289565	434	u	1
BnaA02LNG0004600	BnaA02LNG0004600.1	MSTRG.5936.1	chrA02	15807607-15810186	2579	u	1
BnaA02LNG0004700	BnaA02LNG0004700.1	MSTRG.6185.1	chrA02	18223428-18224712	1284	u	1
BnaA02LNG0004800	BnaA02LNG0004800.1	MSTRG.6282.1	chrA02	18978097-18984527	6430	u	1
BnaA02LNG0004900	BnaA02LNG0004900.1	MSTRG.6312.1	chrA02	19128555-19130437	1882	u	1
BnaA02LNG0005000	BnaA02LNG0005000.1	MSTRG.6409.1	chrA02	19771174-19771856	682	u	1
BnaA02LNG0005100	BnaA02LNG0005100.1	MSTRG.6410.1	chrA02	19772612-19773021	409	u	1
BnaA02LNG0005200	BnaA02LNG0005200.1	MSTRG.6423.1	chrA02	19810383-19810601	218	u	1
BnaA02LNG0005300	BnaA02LNG0005300.1	MSTRG.6590.1	chrA02	20851998-20852511	513	u	1
BnaA02LNG0005400	BnaA02LNG0005400.1	MSTRG.6614.1	chrA02	20989988-20990488	500	u	1
BnaA02LNG0005500	BnaA02LNG0005500.1	MSTRG.6623.1	chrA02	21022690-21022991	301	u	1
BnaA02LNG0005600	BnaA02LNG0005600.1	MSTRG.6637.1	chrA02	21104238-21106427	2189	u	2
BnaA02LNG0005700	BnaA02LNG0005700.1	MSTRG.6935.1	chrA02	22978147-22979847	1700	u	1
BnaA02LNG0005800	BnaA02LNG0005800.1	MSTRG.6949.1	chrA02	23026421-23028720	2299	u	1
BnaA02LNG0005900	BnaA02LNG0005900.1	MSTRG.6967.1	chrA02	23117234-23117608	374	u	1
BnaA02LNG0006000	BnaA02LNG0006000.1	MSTRG.7012.1	chrA02	23493629-23494385	756	u	1
BnaA02LNG0006100	BnaA02LNG0006100.1	MSTRG.7119.1	chrA02	24345619-24346410	791	u	1
BnaA02LNG0006200	BnaA02LNG0006200.1	MSTRG.7284.1	chrA02_random	385343-385781	438	u	1
BnaA02LNG0006300	BnaA02LNG0006300.1	MSTRG.7318.1	chrA02_random	576582-577097	515	u	1
BnaA02LNG0006400	BnaA02LNG0006400.1	MSTRG.7325.1	chrA02_random	607055-607370	315	u	1
BnaA02LNG0006500	BnaA02LNG0006500.1	MSTRG.7393.1	chrA02_random	1066223-1066795	572	u	1
BnaA03LNG0000100	BnaA03LNG0000100.1	MSTRG.7692.1	chrA03	1439121-1439437	316	i	1
BnaA03LNG0000200	BnaA03LNG0000200.1	MSTRG.7815.1	chrA03	2089142-2092759	3617	u	3
BnaA03LNG0000300	BnaA03LNG0000300.1	MSTRG.7941.1	chrA03	2771337-2771579	242	u	1
BnaA03LNG0000400	BnaA03LNG0000400.1	MSTRG.8041.1	chrA03	3303780-3304266	486	u	1
BnaA03LNG0000500	BnaA03LNG0000500.1	MSTRG.8081.2	chrA03	3479527-3479935	408	o	2
BnaA03LNG0000600	BnaA03LNG0000600.1	MSTRG.8083.1	chrA03	3488961-3489559	598	u	2
BnaA03LNG0000700	BnaA03LNG0000700.1	MSTRG.8311.2	chrA03	5039471-5040198	727	o	2
BnaA03LNG0000800	BnaA03LNG0000800.1	MSTRG.8391.1	chrA03	5180137-5180938	801	u	1
BnaA03LNG0000900	BnaA03LNG0000900.1	MSTRG.8416.1	chrA03	5289605-5290624	1019	u	1
BnaA03LNG0001000	BnaA03LNG0001000.1	MSTRG.8420.1	chrA03	5308495-5308988	493	u	1
BnaA03LNG0001100	BnaA03LNG0001100.1	MSTRG.8465.1	chrA03	5513675-5513982	307	u	1
BnaA03LNG0001200	BnaA03LNG0001200.1	MSTRG.8469.1	chrA03	5532846-5533208	362	u	1
BnaA03LNG0001300	BnaA03LNG0001300.1	MSTRG.8604.1	chrA03	6257759-6258290	531	u	1
BnaA03LNG0001400	BnaA03LNG0001400.1	MSTRG.8644.1	chrA03	6386555-6388972	2417	o	2
BnaA03LNG0001500	BnaA03LNG0001500.1	MSTRG.8649.1	chrA03	6406069-6407491	1422	o	2
BnaA03LNG0001600	BnaA03LNG0001600.1	MSTRG.8687.1	chrA03	6628935-6630044	1109	u	1
BnaA03LNG0001700	BnaA03LNG0001700.1	MSTRG.8827.1	chrA03	7889812-7890943	1131	u	1
BnaA03LNG0001800	BnaA03LNG0001800.1	MSTRG.8839.1	chrA03	7927907-7928660	753	u	1
BnaA03LNG0001900	BnaA03LNG0001900.1	MSTRG.8955.1	chrA03	8131768-8133380	1612	u	1
BnaA03LNG0002000	BnaA03LNG0002000.1	MSTRG.9000.1	chrA03	8347191-8347656	465	u	1
BnaA03LNG0002100	BnaA03LNG0002100.1	MSTRG.9096.1	chrA03	8916222-8916778	556	u	1
BnaA03LNG0002200	BnaA03LNG0002200.1	MSTRG.9167.1	chrA03	9255883-9258126	2243	u	1
BnaA03LNG0002300	BnaA03LNG0002300.1	MSTRG.9299.1	chrA03	9942191-9943566	1375	o	2
BnaA03LNG0002400	BnaA03LNG0002400.1	MSTRG.9284.2	chrA03	9983981-9985337	1356	u	2
BnaA03LNG0002500	BnaA03LNG0002500.1	MSTRG.9311.1	chrA03	10077500-10078773	1273	u	1
BnaA03LNG0002600	BnaA03LNG0002600.1	MSTRG.9383.1	chrA03	10408161-10408907	746	u	2
BnaA03LNG0002700	BnaA03LNG0002700.1	MSTRG.9391.1	chrA03	10464620-10466592	1972	u	1
BnaA03LNG0002800	BnaA03LNG0002800.1	MSTRG.9419.1	chrA03	10628939-10629238	299	u	1
BnaA03LNG0002900	BnaA03LNG0002900.1	MSTRG.9532.1	chrA03	11216178-11216429	251	u	1
BnaA03LNG0003000	BnaA03LNG0003000.1	MSTRG.9574.1	chrA03	11461506-11465825	4319	u	2
BnaA03LNG0003100	BnaA03LNG0003100.1	MSTRG.9580.1	chrA03	11487520-11488540	1020	o	2
BnaA03LNG0003200	BnaA03LNG0003200.1	MSTRG.9583.1	chrA03	11509712-11510371	659	u	1
BnaA03LNG0003300	BnaA03LNG0003300.1	MSTRG.9625.1	chrA03	11733352-11733670	318	u	1
BnaA03LNG0003400	BnaA03LNG0003400.1	MSTRG.9630.1	chrA03	11748725-11749460	735	u	1
BnaA03LNG0003500	BnaA03LNG0003500.1	MSTRG.9685.1	chrA03	12048872-12050088	1216	u	1
BnaA03LNG0003600	BnaA03LNG0003600.1	MSTRG.9775.1	chrA03	12571771-12572915	1144	u	2
BnaA03LNG0003700	BnaA03LNG0003700.1	MSTRG.9828.1	chrA03	12937247-12937474	227	u	1
BnaA03LNG0003800	BnaA03LNG0003800.1	MSTRG.9938.1	chrA03	13567459-13567852	393	i	1
BnaA03LNG0003900	BnaA03LNG0003900.1	MSTRG.10061.1	chrA03	14211537-14213502	1965	x	2
BnaA03LNG0004000	BnaA03LNG0004000.1	MSTRG.10110.2	chrA03	14420598-14421221	623	o	2
BnaA03LNG0004100	BnaA03LNG0004100.1	MSTRG.10299.1	chrA03	15438589-15438858	269	u	1
BnaA03LNG0004200	BnaA03LNG0004200.1	MSTRG.10334.1	chrA03	15627734-15628238	504	u	1
BnaA03LNG0004300	BnaA03LNG0004300.1	MSTRG.10420.1	chrA03	16181050-16182429	1379	u	1
BnaA03LNG0004400	BnaA03LNG0004400.1	MSTRG.10446.1	chrA03	16239724-16240548	824	u	1
BnaA03LNG0004500	BnaA03LNG0004500.1	MSTRG.10506.1	chrA03	16577965-16578746	781	u	1
BnaA03LNG0004600	BnaA03LNG0004600.1	MSTRG.10546.1	chrA03	16813459-16814466	1007	o	2
BnaA03LNG0004700	BnaA03LNG0004700.1	MSTRG.10582.1	chrA03	17001730-17002061	331	u	1
BnaA03LNG0004800	BnaA03LNG0004800.1	MSTRG.10593.1	chrA03	17027671-17028439	768	u	1
BnaA03LNG0004900	BnaA03LNG0004900.1	MSTRG.10659.1	chrA03	17315958-17321600	5642	u	2
BnaA03LNG0005000	BnaA03LNG0005000.1	MSTRG.10707.1	chrA03	17597268-17598867	1599	u	1
BnaA03LNG0005100	BnaA03LNG0005100.1	MSTRG.10734.1	chrA03	17751029-17751674	645	u	1
BnaA03LNG0005200	BnaA03LNG0005200.1	MSTRG.10762.1	chrA03	18008230-18010053	1823	u	1
BnaA03LNG0005300	BnaA03LNG0005300.1	MSTRG.10828.1	chrA03	18347262-18348134	872	u	1
BnaA03LNG0005400	BnaA03LNG0005400.1	MSTRG.10909.2	chrA03	18828486-18830312	1826	o	2
BnaA03LNG0005500	BnaA03LNG0005500.1	MSTRG.10931.1	chrA03	18974429-18975768	1339	u	1
BnaA03LNG0005600	BnaA03LNG0005600.1	MSTRG.10966.1	chrA03	19249348-19249551	203	u	1
BnaA03LNG0005700	BnaA03LNG0005700.1	MSTRG.10988.1	chrA03	19317079-19319402	2323	u	1
BnaA03LNG0005800	BnaA03LNG0005800.1	MSTRG.11120.1	chrA03	20072897-20073236	339	u	1
BnaA03LNG0005900	BnaA03LNG0005900.1	MSTRG.11157.1	chrA03	20260212-20260734	522	u	1
BnaA03LNG0006000	BnaA03LNG0006000.1	MSTRG.11161.1	chrA03	20292026-20293148	1122	u	1
BnaA03LNG0006100	BnaA03LNG0006100.1	MSTRG.11251.1	chrA03	20694775-20695154	379	u	1
BnaA03LNG0006200	BnaA03LNG0006200.1	MSTRG.11327.1	chrA03	21098973-21099452	479	u	1
BnaA03LNG0006300	BnaA03LNG0006300.1	MSTRG.11360.1	chrA03	21239459-21240078	619	u	1
BnaA03LNG0006400	BnaA03LNG0006400.1	MSTRG.11382.1	chrA03	21345048-21345925	877	u	1
BnaA03LNG0006500	BnaA03LNG0006500.1	MSTRG.11437.1	chrA03	21613564-21613969	405	u	1
BnaA03LNG0006600	BnaA03LNG0006600.1	MSTRG.11478.1	chrA03	21830122-21831240	1118	u	1
BnaA03LNG0006700	BnaA03LNG0006700.1	MSTRG.11502.1	chrA03	21968735-21969550	815	u	1
BnaA03LNG0006800	BnaA03LNG0006800.1	MSTRG.11559.1	chrA03	22289712-22291851	2139	o	3
BnaA03LNG0006900	BnaA03LNG0006900.1	MSTRG.11615.1	chrA03	22778991-22779848	857	u	1
BnaA03LNG0007000	BnaA03LNG0007000.1	MSTRG.11624.1	chrA03	22819053-22820414	1361	i	2
BnaA03LNG0007100	BnaA03LNG0007100.1	MSTRG.12043.1	chrA03	25525430-25526872	1442	u	2
BnaA03LNG0007200	BnaA03LNG0007200.1	MSTRG.12123.1	chrA03	26012701-26014043	1342	u	1
BnaA03LNG0007300	BnaA03LNG0007300.1	MSTRG.12113.1	chrA03	26139577-26141299	1722	u	1
BnaA03LNG0007400	BnaA03LNG0007400.1	MSTRG.12140.1	chrA03	26210422-26210823	401	u	1
BnaA03LNG0007500	BnaA03LNG0007500.1	MSTRG.12224.1	chrA03	26659134-26659953	819	u	1
BnaA03LNG0007600	BnaA03LNG0007600.1	MSTRG.12269.1	chrA03	27160931-27161268	337	u	1
BnaA03LNG0007700	BnaA03LNG0007700.1	MSTRG.12303.1	chrA03	27162890-27165410	2520	u	1
BnaA03LNG0007800	BnaA03LNG0007800.1	MSTRG.12312.1	chrA03	27230959-27231791	832	u	1
BnaA03LNG0007900	BnaA03LNG0007900.1	MSTRG.12335.1	chrA03	27353987-27355049	1062	u	1
BnaA03LNG0008000	BnaA03LNG0008000.1	MSTRG.12399.1	chrA03	27732485-27733709	1224	u	1
BnaA03LNG0008100	BnaA03LNG0008100.1	MSTRG.12416.2	chrA03	27884666-27886871	2205	u	2
BnaA03LNG0008200	BnaA03LNG0008200.1	MSTRG.12445.1	chrA03	28075343-28075849	506	i	1
BnaA03LNG0008300	BnaA03LNG0008300.1	MSTRG.12473.1	chrA03	28316238-28316692	454	u	1
BnaA03LNG0008400	BnaA03LNG0008400.1	MSTRG.12504.1	chrA03	28581021-28583853	2832	u	1
BnaA03LNG0008500	BnaA03LNG0008500.1	MSTRG.12559.1	chrA03	28985844-28986209	365	u	1
BnaA03LNG0008600	BnaA03LNG0008600.1	MSTRG.12583.1	chrA03	29154892-29155127	235	u	1
BnaA03LNG0008700	BnaA03LNG0008700.1	MSTRG.12592.1	chrA03	29337455-29340796	3341	u	1
BnaA03LNG0008800	BnaA03LNG0008800.1	MSTRG.12606.1	chrA03	29513646-29514151	505	u	1
BnaA03LNG0008900	BnaA03LNG0008900.1	MSTRG.12730.1	chrA03_random	635941-639279	3338	u	2
BnaA03LNG0008900	BnaA03LNG0008900.2	MSTRG.12730.2	chrA03_random	635941-639279	3338	u	2
BnaA03LNG0009000	BnaA03LNG0009000.1	MSTRG.12810.1	chrA03_random	944321-946088	1767	u	2
BnaA03LNG0009100	BnaA03LNG0009100.1	MSTRG.12843.1	chrA03_random	1089293-1089889	596	u	1
BnaA03LNG0009200	BnaA03LNG0009200.1	MSTRG.12970.1	chrA03_random	1764228-1764945	717	u	1
BnaA03LNG0009300	BnaA03LNG0009300.1	MSTRG.12972.1	chrA03_random	1778457-1780587	2130	u	1
BnaA03LNG0009400	BnaA03LNG0009400.1	MSTRG.12990.1	chrA03_random	1798118-1798979	861	u	1
BnaA03LNG0009500	BnaA03LNG0009500.1	MSTRG.13040.1	chrA03_random	2138905-2145811	6906	u	1
BnaA03LNG0009600	BnaA03LNG0009600.1	MSTRG.13048.1	chrA03_random	2183371-2184656	1285	u	1
BnaA03LNG0009700	BnaA03LNG0009700.1	MSTRG.13057.1	chrA03_random	2235218-2235883	665	u	1
BnaA03LNG0009800	BnaA03LNG0009800.1	MSTRG.13068.1	chrA03_random	2265587-2266702	1115	u	1
BnaA03LNG0009900	BnaA03LNG0009900.1	MSTRG.13116.1	chrA03_random	3297211-3298266	1055	u	1
BnaA03LNG0010000	BnaA03LNG0010000.1	MSTRG.13147.1	chrA03_random	3596692-3598753	2061	u	1
BnaA03LNG0010100	BnaA03LNG0010100.1	MSTRG.13155.1	chrA03_random	3718204-3718757	553	u	1
BnaA03LNG0010200	BnaA03LNG0010200.1	MSTRG.13232.1	chrA03_random	4529427-4533286	3859	u	1
BnaA03LNG0010300	BnaA03LNG0010300.1	MSTRG.13237.1	chrA03_random	4582080-4583072	992	u	1
BnaA03LNG0010400	BnaA03LNG0010400.1	MSTRG.13269.1	chrA03_random	4845515-4846732	1217	u	1
BnaA03LNG0010500	BnaA03LNG0010500.1	MSTRG.13272.1	chrA03_random	4863804-4865897	2093	u	1
BnaA03LNG0010600	BnaA03LNG0010600.1	MSTRG.13310.1	chrA03_random	5303647-5305797	2150	u	1
BnaA03LNG0010700	BnaA03LNG0010700.1	MSTRG.13328.1	chrA03_random	5627605-5628203	598	u	1
BnaA04LNG0000100	BnaA04LNG0000100.1	MSTRG.13591.1	chrA04	1466434-1466844	410	u	1
BnaA04LNG0000200	BnaA04LNG0000200.1	MSTRG.13669.1	chrA04	2057457-2058146	689	u	1
