Query	Length_Query	Target	Length_Target	dG	ndG	Start_Position_Query	End_Position_Query	Start_Position_Target	End_Position_Target
BnaA01LNG0004100	 9815	BnaA01g25180D	 114	-13.92	 -0.1254	5778	5891	1	114
BnaA01LNG0004200	 5475	BnaA01g26150D	 87	-10.43	 -0.2086	3869	3955	1	87
BnaA01LNG0004400	 1296	BnaA01g26350D	 144	-13.14	 -0.1043	10	153	1	144
BnaA01LNG0004400	 1296	BnaA01g26360D	 114	-9.64	 -0.1083	1	106	9	114
BnaA01LNG0004700	 1670	BnaA01g28730D	 102	-10.60	 -0.1104	149	250	1	102
BnaA01LNG0004800	 1495	BnaA01g28730D	 102	-11.44	 -0.1217	504	605	1	102
BnaA01LNG0005000	 910	BnaA01g29330D	 78	-7.97	 -0.1374	544	621	1	78
BnaA01LNG0005000	 910	BnaA01g29340D	 93	-9.17	 -0.1161	442	534	1	93
BnaA01LNG0005100	 1581	BnaA01g29480D	 141	-11.67	 -0.1024	1008	1148	1	141
BnaA01LNG0005200	 1066	BnaA01g29480D	 141	-13.60	 -0.1183	149	289	1	141
BnaA01LNG0005200	 1066	BnaA01g29540D	 312	-14.54	 -0.1412	957	1066	1	110
BnaA01LNG0005400	 742	BnaA01g30310D	 720	-17.43	 -0.1362	1	146	575	720
BnaA01LNG0005700	 1216	BnaA01g32200D	 855	-102.31	 -0.9054	1080	1216	1	137
BnaA01LNG0005800	 731	BnaA01g32430D	 63	-8.38	 -0.1524	616	678	1	63
BnaA01LNG0005900	 513	BnaA01g32880D	 429	-12.05	 -0.1148	1	153	277	429
BnaA01LNG0006200	 1061	BnaA01g34680D	 1383	-9.69	 -0.3028	1	39	1345	1383
BnaA01LNG0006600	 295	BnaA01g35730D	 63	-5.07	 -0.7243	269	295	1	27
BnaA01LNG0006700	 2156	BnaA01g35840D	 171	-12.56	 -0.1163	1	149	23	171
BnaA02LNG0000100	 1148	BnaA02g02010D	 1194	-245.78	 -0.2731	201	1148	1	948
BnaA02LNG0000500	 625	BnaA02g05740D	 63	-5.86	 -0.1010	349	411	1	63
BnaA02LNG0000500	 625	BnaA02g05860D	 63	-6.42	 -0.1427	215	277	1	63
BnaA02LNG0000600	 1677	BnaA02g08310D	 132	-8.55	 -0.1006	1571	1677	1	107
BnaA02LNG0000700	 754	BnaA02g08310D	 132	-9.49	 -0.1054	311	442	1	132
BnaA02LNG0000900	 305	BnaA02g08350D	 1257	-7.72	 -0.3357	255	305	1	51
BnaA02LNG0000900	 305	BnaA02g08380D	 225	-5.00	 -0.1020	218	305	1	88
BnaA02LNG0000900	 305	BnaA02g08400D	 1110	-7.01	 -0.8762	282	305	1	24
BnaA02LNG0001000	 534	BnaA02g08770D	 111	-8.71	 -0.1025	300	410	1	111
BnaA02LNG0001000	 534	BnaA02g08780D	 99	-11.46	 -0.3820	295	393	1	99
BnaA02LNG0001000	 534	BnaA02g08830D	 153	-12.72	 -0.1010	245	397	1	153
BnaA02LNG0001300	 365	BnaA02g10360D	 192	-10.64	 -0.1108	1	133	60	192
BnaA02LNG0001300	 365	BnaA02g10380D	 108	-8.91	 -0.1061	230	337	1	108
BnaA02LNG0001700	 387	BnaA02g12500D	 45	-8.09	 -0.4494	30	74	1	45
BnaA02LNG0001800	 385	BnaA02g12450D	 1413	-10.24	 -0.1442	1	79	1335	1413
BnaA02LNG0001800	 385	BnaA02g12500D	 45	-4.00	 -0.2857	105	149	1	45
BnaA02LNG0001900	 791	BnaA02g12610D	 159	-10.46	 -0.1260	570	728	1	159
BnaA02LNG0002000	 1001	BnaA02g12570D	 339	-19.45	 -0.1118	797	1001	1	205
BnaA02LNG0002200	 481	BnaA02g12900D	 102	-8.08	 -0.1107	81	182	1	102
BnaA02LNG0002200	 481	BnaA02g12930D	 261	-8.42	 -0.1427	395	481	1	87
BnaA02LNG0002700	 685	BnaA02g15630D	 333	-11.64	 -0.1130	1	180	154	333
BnaA02LNG0003200	 384	BnaA02g17920D	 222	-11.82	 -0.1391	262	384	1	123
BnaA02LNG0003300	 380	BnaA02g19140D	 438	-5.95	 -0.1352	1	67	372	438
BnaA02LNG0003400	 1279	BnaA02g19530D	 216	-14.23	 -0.1801	1175	1279	1	105
BnaA02LNG0003500	 211	BnaA02g20270D	 1380	-6.56	 -1.0933	1	25	1356	1380
BnaA02LNG0003500	 211	BnaA02g20290D	 57	-3.29	 -0.1219	100	156	1	57
BnaA02LNG0004200	 1102	BnaA02g21570D	 93	-10.34	 -0.1309	890	982	1	93
BnaA02LNG0004400	 939	BnaA02g22760D	 51	-5.76	 -0.1226	568	618	1	51
BnaA02LNG0004500	 434	BnaA02g22760D	 51	-4.55	 -0.1110	301	351	1	51
BnaA02LNG0004900	 1882	BnaA02g26160D	 69	-11.69	 -0.2125	1107	1175	1	69
BnaA02LNG0005000	 682	BnaA02g26790D	 66	-9.38	 -0.1646	375	440	1	66
BnaA02LNG0005000	 682	BnaA02g26870D	 72	-6.65	 -0.1304	278	349	1	72
BnaA02LNG0005100	 409	BnaA02g26790D	 66	-5.56	 -0.1090	311	376	1	66
BnaA02LNG0005100	 409	BnaA02g26800D	 369	-12.71	 -0.1033	1	152	218	369
BnaA02LNG0005100	 409	BnaA02g26870D	 72	-9.81	 -0.2002	54	125	1	72
BnaA02LNG0005400	 500	BnaA02g28550D	 210	-15.33	 -0.1198	360	500	1	141
BnaA02LNG0005500	 301	BnaA02g28640D	 1947	-10.32	 -0.1160	197	301	1	105
BnaA02LNG0005600	 2189	BnaA02g28750D	 102	-11.85	 -0.1445	251	352	1	102
BnaA02LNG0005600	 2189	BnaA02g28830D	 195	-17.15	 -0.1039	1719	1913	1	195
BnaA02LNG0006300	 515	BnaA02g35900D	 840	-11.93	 -0.1326	383	515	1	133
BnaA02LNG0006300	 515	BnaA02g35990D	 237	-8.13	 -0.1016	416	515	1	100
BnaA02LNG0006300	 515	BnaA02g36010D	 162	-8.13	 -0.1506	1	72	91	162
BnaA02LNG0006400	 315	BnaA02g36070D	 129	-10.51	 -0.1155	1	121	9	129
BnaA03LNG0000300	 242	BnaA03g06380D	 609	-7.49	 -0.1055	1	149	461	609
BnaA03LNG0000500	 408	BnaA03g08020D	 99	-8.51	 -0.1493	179	277	1	99
BnaA03LNG0000500	 408	BnaA03g08060D	 138	-14.13	 -0.1427	267	404	1	138
BnaA03LNG0000600	 598	BnaA03g08060D	 138	-13.29	 -0.1080	125	262	1	138
BnaA03LNG0000800	 801	BnaA03g11590D	 1608	-21.59	 -0.1053	1	227	1382	1608
BnaA03LNG0000800	 801	BnaA03g11650D	 567	-15.68	 -0.1936	1	148	420	567
BnaA03LNG0000800	 801	BnaA03g11670D	 339	-16.65	 -0.1173	1	151	189	339
BnaA03LNG0001800	 753	BnaA03g16910D	 162	-12.09	 -0.2198	1	58	105	162
BnaA03LNG0001800	 753	BnaA03g17000D	 993	-14.81	 -0.1001	1	181	813	993
BnaA03LNG0002000	 465	BnaA03g17710D	 174	-12.23	 -0.1082	310	465	1	156
BnaA03LNG0002000	 465	BnaA03g17730D	 1224	-14.21	 -0.1119	301	465	1	165
BnaA03LNG0002000	 465	BnaA03g17780D	 1008	-16.21	 -0.1118	258	465	1	208
BnaA03LNG0002100	 556	BnaA03g18940D	 63	-5.61	 -0.1336	50	112	1	63
BnaA03LNG0002200	 2243	BnaA03g19650D	 186	-16.22	 -0.1027	157	342	1	186
BnaA03LNG0002300	 1375	BnaA03g21150D	 78	-12.48	 -0.2115	1103	1180	1	78
BnaA03LNG0002400	 1356	BnaA03g21150D	 78	-11.55	 -0.1991	135	212	1	78
BnaA03LNG0002500	 1273	BnaA03g21340D	 222	-21.41	 -0.1290	313	534	1	222
BnaA03LNG0002500	 1273	BnaA03g21380D	 141	-18.91	 -0.1603	635	775	1	141
BnaA03LNG0002500	 1273	BnaA03g21400D	 261	-25.46	 -0.1083	221	481	1	261
BnaA03LNG0002600	 746	BnaA03g22000D	 789	-133.39	 -0.2074	100	746	1	647
BnaA03LNG0002700	 1972	BnaA03g22220D	 33	-5.27	 -0.2635	169	201	1	33
BnaA03LNG0002800	 299	BnaA03g22410D	 51	-8.12	 -0.1980	256	299	1	44
BnaA03LNG0002900	 251	BnaA03g23520D	 489	-9.98	 -0.1174	148	251	1	104
BnaA03LNG0002900	 251	BnaA03g23540D	 786	-7.07	 -0.3928	168	251	1	84
BnaA03LNG0002900	 251	BnaA03g23580D	 2079	-13.93	 -0.1857	134	251	1	118
BnaA03LNG0003100	 1020	BnaA03g24060D	 300	-26.91	 -0.1447	596	895	1	300
BnaA03LNG0003300	 318	BnaA03g24460D	 1296	-12.62	 -0.1158	1	132	1165	1296
BnaA03LNG0003300	 318	BnaA03g24510D	 1044	-10.82	 -0.1093	1	127	918	1044
BnaA03LNG0003300	 318	BnaA03g24530D	 693	-11.47	 -0.1738	1	86	608	693
BnaA03LNG0003500	 1216	BnaA03g24960D	 72	-6.25	 -0.1838	204	275	1	72
BnaA03LNG0003700	 227	BnaA03g26510D	 1953	-19.74	 -0.1028	1	227	1315	1541
BnaA03LNG0003900	 1965	BnaA03g29210D	 168	-45.92	 -0.3124	1561	1728	1	168
BnaA03LNG0004000	 623	BnaA03g29640D	 99	-15.87	 -0.1671	335	433	1	99
BnaA03LNG0004000	 623	BnaA03g29670D	 135	-13.39	 -0.1251	424	558	1	135
BnaA03LNG0004000	 623	BnaA03g29700D	 1437	-29.49	 -0.1328	340	623	1	284
BnaA03LNG0004000	 623	BnaA03g29730D	 90	-8.31	 -0.1052	324	413	1	90
BnaA03LNG0004000	 623	BnaA03g29870D	 60	-5.11	 -0.2433	527	586	1	60
BnaA03LNG0004500	 781	BnaA03g34170D	 117	-11.16	 -0.1298	406	522	1	117
BnaA03LNG0004600	 1007	BnaA03g34580D	 243	-20.82	 -0.1352	583	825	1	243
BnaA03LNG0004600	 1007	BnaA03g34640D	 144	-15.89	 -0.1151	346	489	1	144
BnaA03LNG0004700	 331	BnaA03g34900D	 285	-6.66	 -0.1903	227	331	1	105
BnaA03LNG0004700	 331	BnaA03g34930D	 420	-7.81	 -0.1070	1	106	315	420
BnaA03LNG0004700	 331	BnaA03g34970D	 621	-9.40	 -0.1160	1	103	519	621
BnaA03LNG0004900	 5642	BnaA03g35450D	 99	-11.42	 -0.1360	4240	4338	1	99
BnaA03LNG0004900	 5642	BnaA03g35460D	 102	-11.37	 -0.1672	3327	3428	1	102
BnaA03LNG0005200	 1823	BnaA03g36760D	 219	-12.64	 -0.1003	559	777	1	219
BnaA03LNG0005500	 1339	BnaA03g38240D	 33	-4.33	 -0.2279	1252	1284	1	33
BnaA03LNG0005600	 203	BnaA03g38760D	 306	-9.17	 -0.1030	1	126	181	306
BnaA03LNG0005600	 203	BnaA03g38830D	 189	-5.88	 -0.1589	1	56	134	189
BnaA03LNG0005600	 203	BnaA03g38860D	 1239	-11.37	 -0.1015	1	138	1102	1239
BnaA03LNG0005800	 339	BnaA03g40200D	 789	-13.53	 -0.1033	1	158	632	789
BnaA03LNG0005900	 522	BnaA03g40600D	 642	-6.96	 -0.2047	443	522	1	80
BnaA03LNG0006500	 405	BnaA03g43090D	 891	-9.72	 -0.1002	1	115	777	891
BnaA03LNG0006700	 815	BnaA03g43690D	 171	-13.00	 -0.1040	557	727	1	171
BnaA03LNG0006700	 815	BnaA03g43800D	 81	-8.39	 -0.1332	324	404	1	81
BnaA03LNG0007000	 1361	BnaA03g44940D	 237	-13.42	 -0.4329	1	49	189	237
BnaA03LNG0007200	 1342	BnaA03g50260D	 36	-5.94	 -0.3126	237	272	1	36
BnaA03LNG0007300	 1722	BnaA03g50440D	 75	-9.13	 -0.1574	801	875	1	75
BnaA03LNG0007300	 1722	BnaA03g50550D	 153	-8.86	 -0.1452	1630	1722	1	93
BnaA03LNG0007400	 401	BnaA03g50590D	 54	-7.43	 -0.1689	10	63	1	54
BnaA03LNG0007600	 337	BnaA03g52150D	 396	-9.01	 -0.1060	1	88	309	396
BnaA03LNG0007600	 337	BnaA03g52160D	 1773	-11.49	 -0.1436	245	337	1	93
BnaA03LNG0008000	 1224	BnaA03g53060D	 465	-15.90	 -0.1006	1	225	241	465
BnaA03LNG0008100	 2205	BnaA03g53260D	 153	-13.79	 -0.1254	1317	1469	1	153
BnaA03LNG0008300	 454	BnaA03g53810D	 393	-11.86	 -0.1098	342	454	1	113
BnaA03LNG0008900	 3338	BnaA03g56370D	 168	-16.07	 -0.1236	2327	2494	1	168
BnaA03LNG0008900	 3338	BnaA03g56450D	 72	-10.69	 -0.1670	2047	2118	1	72
BnaA03LNG0009100	 596	BnaA03g57360D	 69	-6.40	 -0.1208	289	357	1	69
BnaA03LNG0010000	 2061	BnaA03g59610D	 102	-11.89	 -0.1351	13	114	1	102
BnaA03LNG0010100	 553	BnaA03g59730D	 177	-6.71	 -0.2237	506	553	1	48
BnaA03LNG0010600	 2150	BnaA03g60590D	 63	-10.28	 -0.2570	551	613	1	63
BnaA03LNG0010600	 2150	BnaA03g60600D	 120	-11.51	 -0.1199	282	401	1	120
BnaA04LNG0000100	 410	BnaA04g02350D	 411	-8.14	 -0.1850	314	410	1	97
BnaA04LNG0000100	 410	BnaA04g02370D	 2925	-11.57	 -0.2361	329	410	1	82
BnaA04LNG0000200	 689	BnaA04g03170D	 48	-5.17	 -0.3041	105	152	1	48
BnaA04LNG0000400	 2037	BnaA04g04640D	 414	-16.85	 -0.1178	1868	2037	1	170
BnaA04LNG0000400	 2037	BnaA04g04680D	 69	-11.06	 -0.2304	317	385	1	69
BnaA04LNG0000700	 567	BnaA04g05340D	 219	-17.85	 -0.1014	378	567	1	190
BnaA04LNG0000800	 1454	BnaA04g06010D	 63	-6.27	 -0.1844	1133	1195	1	63
BnaA04LNG0000900	 361	BnaA04g06170D	 57	-5.13	 -0.1710	65	121	1	57
BnaA04LNG0001000	 589	BnaA04g06430D	 54	-10.07	 -0.5300	219	272	1	54
BnaA04LNG0001000	 589	BnaA04g06450D	 648	-9.50	 -1.5833	1	53	596	648
BnaA04LNG0001000	 589	BnaA04g06470D	 36	-5.39	 -0.2156	1	34	3	36
BnaA04LNG0001300	 1026	BnaA04g06600D	 675	-12.13	 -0.2205	1	68	608	675
BnaA04LNG0001400	 681	BnaA04g06730D	 51	-7.08	 -0.6436	174	224	1	51
BnaA04LNG0001700	 453	BnaA04g07150D	 66	-7.92	 -0.2200	1	58	9	66
BnaA04LNG0002100	 2056	BnaA04g09210D	 63	-8.52	 -0.1444	910	972	1	63
BnaA04LNG0002100	 2056	BnaA04g09280D	 114	-10.90	 -0.1652	1174	1287	1	114
BnaA04LNG0002200	 466	BnaA04g09210D	 63	-6.19	 -0.2814	1	38	26	63
BnaA04LNG0002300	 253	BnaA04g09440D	 279	-4.81	 -0.1659	1	167	113	279
BnaA04LNG0002900	 2457	BnaA04g12740D	 159	-17.20	 -0.1421	1360	1518	1	159
BnaA04LNG0002900	 2457	BnaA04g12840D	 171	-18.65	 -0.1130	935	1105	1	171
BnaA04LNG0003200	 760	BnaA04g13430D	 99	-10.12	 -0.1874	382	480	1	99
BnaA04LNG0003200	 760	BnaA04g13470D	 1494	-15.34	 -0.1489	1	145	1350	1494
BnaA04LNG0003900	 2884	BnaA04g16050D	 51	-5.13	 -0.1832	2648	2698	1	51
BnaA04LNG0004000	 1168	BnaA04g16050D	 51	-8.14	 -0.2713	121	171	1	51
BnaA04LNG0004200	 828	BnaA04g18700D	 39	-5.96	 -0.2292	731	769	1	39
BnaA04LNG0004400	 5540	BnaA04g20320D	 63	-8.55	 -0.2036	1886	1948	1	63
BnaA04LNG0004500	 691	BnaA04g20320D	 63	-7.44	 -0.1220	414	476	1	63
BnaA04LNG0004600	 2092	BnaA04g20770D	 210	-23.78	 -0.1171	225	434	1	210
BnaA04LNG0004700	 1567	BnaA04g20990D	 165	-13.68	 -0.1291	1437	1567	1	131
BnaA04LNG0004700	 1567	BnaA04g21000D	 147	-14.06	 -0.1098	945	1091	1	147
BnaA04LNG0005100	 530	BnaA04g27630D	 417	-11.99	 -0.1817	447	530	1	84
BnaA04LNG0005100	 530	BnaA04g27640D	 273	-13.44	 -0.1893	433	530	1	98
BnaA04LNG0005400	 1560	BnaA04g28400D	 111	-9.28	 -0.1079	207	317	1	111
BnaA05LNG0000100	 240	BnaA05g01190D	 765	-9.40	 -0.1270	160	240	1	81
BnaA05LNG0000300	 749	BnaA05g04360D	 117	-10.36	 -0.1248	663	749	1	87
BnaA05LNG0000400	 677	BnaA05g04620D	 60	-6.60	 -0.1404	208	267	1	60
BnaA05LNG0000600	 297	BnaA05g04930D	 90	-6.07	 -0.1958	1	51	40	90
BnaA05LNG0000600	 297	BnaA05g04990D	 462	-6.25	 -0.1894	1	73	390	462
BnaA05LNG0000600	 297	BnaA05g05040D	 60	-6.13	 -1.2260	272	297	1	26
BnaA05LNG0000800	 601	BnaA05g06550D	 72	-6.64	 -0.1703	544	601	1	58
BnaA05LNG0000900	 457	BnaA05g06550D	 72	-6.08	 -0.1842	153	224	1	72
BnaA05LNG0001100	 325	BnaA05g07900D	 1767	-7.74	 -0.3518	256	325	1	70
BnaA05LNG0001400	 715	BnaA05g08270D	 153	-6.89	 -0.1188	1	78	76	153
BnaA05LNG0001400	 715	BnaA05g08330D	 63	-10.70	 -0.1726	137	199	1	63
BnaA05LNG0001500	 3801	BnaA05g08480D	 117	-10.37	 -0.1047	3319	3435	1	117
BnaA05LNG0001500	 3801	BnaA05g08510D	 99	-12.81	 -0.1601	377	475	1	99
BnaA05LNG0001700	 419	BnaA05g09500D	 1530	-15.26	 -0.2090	1	96	1435	1530
BnaA05LNG0001800	 297	BnaA05g09580D	 237	-7.92	 -0.1257	225	297	1	73
BnaA05LNG0001900	 325	BnaA05g09580D	 237	-9.25	 -0.2569	276	325	1	50
BnaA05LNG0001900	 325	BnaA05g09710D	 675	-13.78	 -0.1130	198	325	1	128
BnaA05LNG0002100	 539	BnaA05g09630D	 2436	-8.86	 -0.1704	452	539	1	88
BnaA05LNG0002100	 539	BnaA05g09680D	 1146	-8.16	 -0.1383	461	539	1	79
BnaA05LNG0002100	 539	BnaA05g09690D	 1149	-8.10	 -0.1373	461	539	1	79
BnaA05LNG0002400	 372	BnaA05g11900D	 111	-6.53	 -0.1146	63	173	1	111
BnaA05LNG0002400	 372	BnaA05g11990D	 69	-4.65	 -0.1163	322	372	1	51
BnaA05LNG0002400	 372	BnaA05g12010D	 930	-7.49	 -0.1971	322	372	1	51
BnaA05LNG0002500	 8416	BnaA05g12350D	 219	-19.99	 -0.1030	6004	6222	1	219
BnaA05LNG0002700	 7061	BnaA05g12920D	 1473	-241.97	 -0.3218	6059	7061	1	1003
BnaA05LNG0002700	 7061	BnaA05g12960D	 159	-16.98	 -0.1403	3368	3526	1	159
BnaA05LNG0002700	 7061	BnaA05g12990D	 213	-18.58	 -0.1169	41	253	1	213
BnaA05LNG0004000	 625	BnaA05g17660D	 129	-13.26	 -0.1251	18	146	1	129
BnaA05LNG0004000	 625	BnaA05g17670D	 129	-8.58	 -0.1009	254	382	1	129
BnaA05LNG0004400	 3130	BnaA05g19220D	 36	-7.48	 -0.9350	2236	2271	1	36
BnaA05LNG0004700	 693	BnaA05g21380D	 642	-17.90	 -0.1053	1	249	394	642
BnaA05LNG0005400	 3381	BnaA05g26080D	 846	-788.55	 -0.9410	2109	2954	1	846
BnaA05LNG0005600	 1636	BnaA05g26670D	 84	-11.23	 -0.4011	545	628	1	84
BnaA05LNG0005600	 1636	BnaA05g26850D	 54	-6.17	 -0.1624	568	621	1	54
BnaA05LNG0005800	 506	BnaA05g33530D	 147	-8.66	 -0.1255	320	466	1	147
BnaA05LNG0005800	 506	BnaA05g33560D	 78	-8.99	 -0.1199	425	502	1	78
BnaA05LNG0006400	 402	BnaA05g35280D	 141	-4.15	 -0.2075	1	100	42	141
BnaA05LNG0006800	 654	BnaA05g35960D	 402	-26.16	 -0.1137	409	654	1	246
BnaA05LNG0006800	 654	BnaA05g35990D	 150	-12.61	 -0.1136	453	602	1	150
BnaA05LNG0006900	 245	BnaA05g35930D	 243	-7.34	 -0.1147	111	245	1	135
BnaA05LNG0007100	 549	BnaA05g36490D	 81	-5.66	 -0.1348	289	369	1	81
BnaA05LNG0007100	 549	BnaA05g36540D	 54	-3.28	 -0.1640	295	348	1	54
BnaA05LNG0007200	 1198	BnaA05g36490D	 81	-6.84	 -0.1006	328	408	1	81
BnaA05LNG0007200	 1198	BnaA05g36540D	 54	-4.49	 -0.1952	907	960	1	54
BnaA06LNG0000400	 3331	BnaA06g00820D	 96	-9.24	 -0.1566	1755	1850	1	96
BnaA06LNG0000800	 561	BnaA06g06850D	 579	-15.57	 -0.1096	386	561	1	176
BnaA06LNG0000800	 561	BnaA06g06920D	 123	-9.76	 -0.1162	119	241	1	123
BnaA06LNG0001100	 1763	BnaA06g10260D	 135	-16.59	 -0.2048	1280	1414	1	135
BnaA06LNG0001200	 718	BnaA06g10260D	 135	-11.70	 -0.1170	577	711	1	135
BnaA06LNG0001500	 2753	BnaA06g12740D	 174	-17.40	 -0.1308	1904	2077	1	174
BnaA06LNG0001500	 2753	BnaA06g12850D	 102	-9.24	 -0.1087	463	564	1	102
BnaA06LNG0001800	 1737	BnaA06g14120D	 63	-8.74	 -0.1986	443	505	1	63
BnaA06LNG0001800	 1737	BnaA06g14170D	 159	-13.08	 -0.1022	1291	1449	1	159
BnaA06LNG0002100	 441	BnaA06g14940D	 96	-7.13	 -0.1876	72	167	1	96
BnaA06LNG0002200	 342	BnaA06g14940D	 96	-5.47	 -0.1439	247	342	1	96
BnaA06LNG0002500	 754	BnaA06g15410D	 1020	-7.24	 -0.1149	661	754	1	94
BnaA06LNG0002700	 903	BnaA06g16110D	 1032	-3.69	 -0.7380	833	903	1	71
BnaA06LNG0002700	 903	BnaA06g16230D	 177	-6.20	 -0.1512	1	76	102	177
BnaA06LNG0002800	 1245	BnaA06g17440D	 99	-13.55	 -0.1576	617	715	1	99
BnaA06LNG0002800	 1245	BnaA06g17480D	 108	-10.05	 -0.1358	863	970	1	108
BnaA06LNG0002900	 1618	BnaA06g17440D	 99	-17.57	 -0.3379	333	431	1	99
BnaA06LNG0002900	 1618	BnaA06g17480D	 108	-14.94	 -0.1409	285	392	1	108
BnaA06LNG0002900	 1618	BnaA06g17580D	 75	-11.31	 -0.1639	336	410	1	75
BnaA06LNG0003100	 574	BnaA06g18630D	 879	-6.27	 -0.8957	526	574	1	49
BnaA06LNG0003100	 574	BnaA06g18660D	 69	-4.01	 -0.2673	543	574	1	32
BnaA06LNG0003100	 574	BnaA06g18670D	 429	-11.13	 -0.2319	525	574	1	50
BnaA06LNG0003100	 574	BnaA06g18680D	 948	-4.98	 -0.3320	481	574	1	94
BnaA06LNG0003100	 574	BnaA06g18700D	 1254	-7.18	 -0.1465	516	574	1	59
BnaA06LNG0003100	 574	BnaA06g18710D	 867	-5.46	 -0.1213	519	574	1	56
BnaA06LNG0003200	 2079	BnaA06g18790D	 249	-13.27	 -0.1474	1	111	139	249
BnaA06LNG0003700	 1012	BnaA06g19530D	 87	-10.83	 -0.1593	431	517	1	87
BnaA06LNG0004100	 206	BnaA06g20990D	 183	-8.32	 -0.1242	1	110	74	183
BnaA06LNG0004500	 4173	BnaA06g22210D	 54	-9.11	 -0.3961	4000	4053	1	54
BnaA06LNG0004800	 242	BnaA06g25810D	 111	-3.82	 -0.2122	1	64	48	111
BnaA06LNG0004800	 242	BnaA06g25850D	 354	-8.50	 -0.1518	1	112	243	354
BnaA06LNG0004800	 242	BnaA06g25870D	 252	-5.98	 -0.1150	1	121	132	252
BnaA06LNG0005100	 1100	BnaA06g27520D	 153	-16.43	 -0.1174	540	692	1	153
BnaA06LNG0005200	 634	BnaA06g27790D	 966	-12.50	 -0.1096	495	634	1	140
BnaA06LNG0005300	 562	BnaA06g28450D	 153	-15.13	 -0.1780	324	476	1	153
BnaA06LNG0005600	 1826	BnaA06g32860D	 129	-12.69	 -0.1085	1576	1704	1	129
BnaA06LNG0005700	 391	BnaA06g33660D	 735	-13.57	 -0.1069	243	391	1	149
BnaA06LNG0006400	 1665	BnaA06g36390D	 48	-8.03	 -0.5353	1120	1167	1	48
