GeneID	Chromosome	Start	Stop	Strand	Description
BnaA01g35840D	chrA01_random	1325960	1326130	+	"heme-binding-like protein At3g10130
BnaA02g02010D	chrA02	907567	910124	-	peroxidase 55-like
BnaA02g05740D	chrA02	2646962	2647024	+	--
BnaA02g05860D	chrA02	2705079	2705141	-	--
BnaA02g08310D	chrA02	3959249	3959611	+	macrophage migration inhibitory factor homolog
BnaA02g08350D	chrA02	4011621	4014810	-	casein kinase 1-like protein 12 isoform X2
BnaA02g08380D	chrA02	4018553	4019076	+	WD repeat-containing protein 43-like isoform X2
BnaA02g08400D	chrA02	4054377	4055778	+	uncharacterized protein BNAC02G11940D
BnaA02g08770D	chrA02	4344729	4344839	-	--
BnaA02g08780D	chrA02	4344927	4345105	-	--
BnaA02g08830D	chrA02	4407605	4407846	+	--
BnaA02g10360D	chrA02	5301233	5301844	-	arabinogalactan peptide 22-like
BnaA02g10380D	chrA02	5324988	5325095	-	transcription factor TRY-like
BnaA02g12450D	chrA02	6678683	6681009	-	putative F-box/LRR-repeat protein At5g54820
BnaA02g12500D	chrA02	6699159	6699203	+	--
BnaA02g12570D	chrA02	6760131	6760629	+	glycine-rich cell wall structural protein 1-like
BnaA02g12610D	chrA02	6776572	6776730	-	--
BnaA02g12900D	chrA02	7012673	7013258	-	--
BnaA02g12930D	chrA02	7031625	7032091	-	--
BnaA02g15630D	chrA02	9091567	9092215	-	eukaryotic translation initiation factor 5A-3
BnaA02g17920D	chrA02	10835415	10835692	-	DEAD-box ATP-dependent RNA helicase 52-like
BnaA02g19140D	chrA02	11863691	11864128	-	S-protein homolog 25-like
BnaA02g19530D	chrA02	12117013	12117486	-	--
BnaA02g20270D	chrA02	12540570	12542326	-	UDP-glycosyltransferase 72B1-like
BnaA02g20290D	chrA02	12553634	12553827	-	--
BnaA02g21570D	chrA02	13946138	13946321	-	--
BnaA02g22760D	chrA02	15293587	15293637	+	--
BnaA02g26160D	chrA02	19224173	19224241	+	--
BnaA02g26790D	chrA02	19776474	19776539	-	--
BnaA02g26800D	chrA02	19779392	19779848	+	--
BnaA02g26870D	chrA02	19814893	19815005	-	--
BnaA02g28550D	chrA02	21010759	21010968	-	uncharacterized protein BNAC02G36610D
BnaA02g28640D	chrA02	21048145	21051907	-	ATPase family AAA domain-containing protein FIGL1
BnaA02g28750D	chrA02	21141568	21141750	+	--
BnaA02g28830D	chrA02	21172091	21172285	-	--
BnaA02g35900D	chrA02_random	603236	604664	+	uncharacterized protein At1g01500-like
BnaA02g35990D	chrA02_random	652495	652809	-	"ornithine carbamoyltransferase
BnaA02g36010D	chrA02_random	657766	658012	+	--
BnaA02g36070D	chrA02_random	703546	703733	-	--
BnaA03g06380D	chrA03	2847678	2849937	-	uncharacterized protein LOC106383439
BnaA03g08020D	chrA03	3557458	3558031	+	--
BnaA03g08060D	chrA03	3573188	3573325	-	--
BnaA03g11590D	chrA03	5197186	5200738	-	"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 1
BnaA03g11650D	chrA03	5230978	5231888	-	CASP-like protein 2D1
BnaA03g11670D	chrA03	5237395	5238107	+	protein translation factor SUI1 homolog
BnaA03g16910D	chrA03	7933819	7933980	-	uncharacterized protein BNAA03G16910D
BnaA03g17000D	chrA03	7971502	7973239	-	peroxidase 21
BnaA03g17710D	chrA03	8350335	8350574	-	--
BnaA03g17730D	chrA03	8369722	8372138	+	protein trichome birefringence-like 34
BnaA03g17780D	chrA03	8404490	8406330	-	WEB family protein At2g38370-like
BnaA03g18940D	chrA03	8950678	8950740	+	--
BnaA03g19650D	chrA03	9316136	9316572	+	arabinogalactan peptide 23
BnaA03g21150D	chrA03	10021766	10021904	-	--
BnaA03g21340D	chrA03	10131812	10132538	-	arabinogalactan peptide 16
BnaA03g21380D	chrA03	10150384	10151091	-	"succinate dehydrogenase subunit 8
BnaA03g21400D	chrA03	10161819	10162766	-	transcription factor CPC isoform X1
BnaA03g22000D	chrA03	10409200	10410602	+	tropinone reductase homolog At2g29310 isoform X1
BnaA03g22220D	chrA03	10542864	10542896	+	--
BnaA03g22410D	chrA03	10648340	10648452	-	--
BnaA03g23520D	chrA03	11254989	11255477	+	auxin-responsive protein SAUR71
BnaA03g23540D	chrA03	11258646	11259579	-	putative methylesterase 19
BnaA03g23580D	chrA03	11271409	11273915	-	probable xyloglucan glycosyltransferase 12
BnaA03g24060D	chrA03	11566492	11567485	-	gibberellin-regulated protein 3 isoform X2
BnaA03g24460D	chrA03	11782144	11784328	+	protein IQ-DOMAIN 14-like isoform X2
BnaA03g24510D	chrA03	11798676	11800136	+	probable mannose-1-phosphate guanylyltransferase 3
BnaA03g24530D	chrA03	11809508	11810951	-	V-type proton ATPase subunit E1
BnaA03g24960D	chrA03	12057579	12058059	+	--
BnaA03g26510D	chrA03	12977821	12979773	+	uncharacterized protein LOC106438646
BnaA03g29210D	chrA03	14214982	14215633	-	hydrophobic protein RCI2A
BnaA03g29640D	chrA03	14435861	14435959	+	uncharacterized protein LOC111214401
BnaA03g29670D	chrA03	14441239	14441373	+	twist-related protein 1-like
BnaA03g29700D	chrA03	14446864	14449405	-	"lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
BnaA03g29730D	chrA03	14456452	14456541	+	uncharacterized protein LOC106389030
BnaA03g29870D	chrA03	14514548	14514714	-	--
BnaA03g34170D	chrA03	16628039	16628372	+	--
BnaA03g34580D	chrA03	16821508	16821750	+	uncharacterized protein BNAC03G34390D
BnaA03g34640D	chrA03	16845268	16845466	+	--
BnaA03g34900D	chrA03	17034597	17034881	+	protein IDA-LIKE 4-like
BnaA03g34930D	chrA03	17042128	17043410	-	uncharacterized protein BNAA03G34930D
BnaA03g34970D	chrA03	17057096	17059036	+	ras-related protein RABG3f
BnaA03g35450D	chrA03	17324659	17324855	-	peptidyl-prolyl cis-trans isomerase CYP21-2
BnaA03g35460D	chrA03	17324943	17325044	-	--
BnaA03g36760D	chrA03	18055323	18055541	-	"pentatricopeptide repeat-containing protein At3g22670
BnaA03g38240D	chrA03	19005153	19005185	-	--
BnaA03g38760D	chrA03	19256710	19258636	-	uncharacterized protein BNAA03G38760D isoform X1
BnaA03g38830D	chrA03	19300078	19300517	+	nucleoside diphosphate kinase 1-like
BnaA03g38860D	chrA03	19313332	19315721	-	uncharacterized protein BNAA03G38860D
BnaA03g40200D	chrA03	20093860	20095203	+	"thioredoxin-like 1-2
BnaA03g40600D	chrA03	20297274	20298315	+	telomere repeat-binding factor 3
BnaA03g43090D	chrA03	21617651	21619337	-	palmitoyl-protein thioesterase 1 isoform X1
BnaA03g43690D	chrA03	22011700	22011870	+	--
BnaA03g43800D	chrA03	22056325	22056495	+	--
BnaA03g44940D	chrA03	22831432	22831668	-	uncharacterized protein LOC106420880
BnaA03g50260D	chrA03	26092103	26092138	-	--
BnaA03g50440D	chrA03	26175172	26175246	+	--
BnaA03g50550D	chrA03	26233391	26233612	-	--
BnaA03g50590D	chrA03	26255537	26255590	+	--
BnaA03g52150D	chrA03	27169104	27169499	-	--
BnaA03g52160D	chrA03	27179763	27182823	+	uncharacterized protein LOC106369594
BnaA03g53060D	chrA03	27749232	27754756	+	auxin-responsive protein SAUR21-like
BnaA03g53260D	chrA03	27940064	27940363	-	--
BnaA03g53810D	chrA03	28363833	28364225	-	leucine-rich repeat extensin-like protein 6
BnaA03g56370D	chrA03_random	690819	690986	+	uncharacterized protein LOC111205091
BnaA03g56450D	chrA03_random	719458	719639	+	--
BnaA03g57360D	chrA03_random	1117863	1118191	-	--
BnaA03g59610D	chrA03_random	3598974	3599075	+	--
BnaA03g59730D	chrA03_random	3740515	3740777	-	uncharacterized protein LOC106378268
BnaA03g60590D	chrA03_random	5351521	5351992	+	--
BnaA03g60600D	chrA03_random	5352049	5352253	+	--
BnaA04g02350D	chrA04	1538778	1540582	-	uncharacterized protein LOC106449142
BnaA04g02370D	chrA04	1547839	1554245	+	insulin-degrading enzyme-like 2
BnaA04g03170D	chrA04	2074926	2075074	+	--
BnaA04g04640D	chrA04	3404863	3405584	+	"serine/threonine-protein kinase AFC1-like
BnaA04g04680D	chrA04	3421342	3421495	-	--
BnaA04g05340D	chrA04	4113943	4114161	+	--
BnaA04g06010D	chrA04	4616780	4617248	-	--
BnaA04g06170D	chrA04	4726966	4727022	+	--
BnaA04g06430D	chrA04	5057272	5057325	-	--
BnaA04g06450D	chrA04	5066494	5067910	+	thaumatin-like protein
BnaA04g06470D	chrA04	5080829	5080864	+	--
BnaA04g06600D	chrA04	5237337	5238321	+	high mobility group B protein 10
BnaA04g06730D	chrA04	5359488	5359538	+	--
BnaA04g07150D	chrA04	5855247	5855312	-	--
BnaA04g09210D	chrA04	8261813	8262055	-	--
BnaA04g09280D	chrA04	8323824	8324010	+	--
BnaA04g09440D	chrA04	8428898	8429286	+	vesicle transport v-SNARE 11
BnaA04g12740D	chrA04	10759459	10759617	-	--
BnaA04g12840D	chrA04	10821811	10821981	-	--
BnaA04g13430D	chrA04	11342920	11343156	+	--
BnaA04g13470D	chrA04	11382519	11384859	+	cytochrome P450 708A2-like
BnaA04g16050D	chrA04	13167630	13167961	-	--
BnaA04g18700D	chrA04	14890740	14890778	+	--
BnaA04g20320D	chrA04	15689545	15689607	+	--
BnaA04g20770D	chrA04	15928836	15929345	+	uncharacterized protein LOC106363051
BnaA04g20990D	chrA04	16065104	16065353	+	--
BnaA04g21000D	chrA04	16065410	16065708	+	inorganic phosphate transporter 1-4-like
BnaA04g27630D	chrA04_random	187909	188496	+	putative thioredoxin H10
BnaA04g27640D	chrA04_random	191062	193359	+	uncharacterized protein LOC106367097 isoform X1
BnaA04g28400D	chrA04_random	810014	810236	-	--
BnaA05g01190D	chrA05	699676	700937	+	homeobox-leucine zipper protein ATHB-7
BnaA05g04360D	chrA05	2353289	2353989	+	serine/threonine-protein kinase D6PKL1-like
BnaA05g04620D	chrA05	2460264	2460382	-	--
BnaA05g04930D	chrA05	2589752	2589906	-	--
BnaA05g04990D	chrA05	2617537	2619018	-	histone deacetylase complex subunit SAP18-like isoform X2
BnaA05g05040D	chrA05	2643600	2643772	+	--
BnaA05g06550D	chrA05	3555872	3556088	+	--
BnaA05g07900D	chrA05	4331946	4339328	+	probable disease resistance RPP8-like protein 4
BnaA05g08270D	chrA05	4558716	4558937	+	--
BnaA05g08330D	chrA05	4625813	4626316	+	--
BnaA05g08480D	chrA05	4754471	4754770	-	--
BnaA05g08510D	chrA05	4765711	4765809	-	--
BnaA05g09500D	chrA05	5227898	5232035	-	protein DETOXIFICATION 15-like
BnaA05g09580D	chrA05	5275505	5275741	-	--
BnaA05g09630D	chrA05	5302838	5307792	+	protein SCAR1-like
BnaA05g09680D	chrA05	5331116	5333510	+	protein trichome birefringence-like 37
BnaA05g09690D	chrA05	5335883	5338687	+	protein trichome birefringence-like 37
BnaA05g09710D	chrA05	5344374	5345977	+	ATP synthase mitochondrial F1 complex assembly factor 1-like
BnaA05g11900D	chrA05	6762840	6762950	-	glycine-rich protein DOT1
BnaA05g11990D	chrA05	6814923	6814991	+	--
BnaA05g12010D	chrA05	6817893	6818822	-	transcription repressor OFP2
BnaA05g12350D	chrA05	7137911	7141454	+	protein PSY3
BnaA05g12920D	chrA05	7595120	7597885	-	beta-glucosidase 42 isoform X2
BnaA05g12960D	chrA05	7640363	7640698	-	uncharacterized protein LOC106378785
BnaA05g12990D	chrA05	7663129	7663617	+	--
BnaA05g17660D	chrA05	12540959	12541087	-	--
BnaA05g17670D	chrA05	12541184	12541312	-	ATP-dependent DNA helicase PIF1-like
BnaA05g19220D	chrA05	14524595	14524766	-	--
BnaA05g21380D	chrA05	16499155	16499953	-	RING-H2 finger protein ATL77-like
BnaA05g26080D	chrA05	19187848	19190418	-	RNA-binding protein PNO1
BnaA05g26670D	chrA05	19455326	19455409	-	--
BnaA05g26850D	chrA05	19517111	19517164	+	--
BnaA05g33530D	chrA05	22685397	22685793	+	"probable inactive ATP-dependent zinc metalloprotease FTSHI 3
BnaA05g33560D	chrA05	22693822	22693899	-	--
BnaA05g35280D	chrA05_random	695434	696039	-	--
BnaA05g35930D	chrA05_random	1423272	1423514	+	--
BnaA05g35960D	chrA05_random	1435506	1435984	+	--
BnaA05g35990D	chrA05_random	1447301	1448679	+	E3 ubiquitin-protein ligase RNF14 isoform X1
BnaA05g36490D	chrA05_random	2447529	2447609	+	--
BnaA05g36540D	chrA05_random	2490735	2490788	+	--
BnaA06g00820D	chrA06	594351	594446	-	--
BnaA06g06850D	chrA06	3665582	3668046	+	uncharacterized protein LOC106380913
BnaA06g06920D	chrA06	3700932	3701082	-	--
BnaA06g10260D	chrA06	5443490	5443624	-	--
BnaA06g12740D	chrA06	6595736	6596006	+	--
BnaA06g12850D	chrA06	6669050	6669251	+	--
BnaA06g14120D	chrA06	7617499	7617561	-	--
BnaA06g14170D	chrA06	7651466	7651624	+	uncharacterized protein LOC106356452
BnaA06g14940D	chrA06	8167041	8167195	-	--
BnaA06g15410D	chrA06	8444636	8447582	+	replication factor C subunit 4
BnaA06g16110D	chrA06	8946690	8949199	-	protein ROOT INITIATION DEFECTIVE 3
BnaA06g16230D	chrA06	9029334	9029510	+	--
BnaA06g17440D	chrA06	9937678	9937924	-	--
BnaA06g17480D	chrA06	9957906	9958013	+	--
BnaA06g17580D	chrA06	10017058	10017360	+	--
BnaA06g18630D	chrA06	10938971	10941230	+	xyloglucan endotransglucosylase/hydrolase protein 31
BnaA06g18660D	chrA06	10948618	10948880	-	--
BnaA06g18670D	chrA06	10951592	10952418	-	SAL1 phosphatase-like isoform X1
BnaA06g18680D	chrA06	10956722	10957846	-	uncharacterized protein LOC106449645
BnaA06g18700D	chrA06	10979128	10980463	-	cation/H(+) antiporter 12-like
BnaA06g18710D	chrA06	10980576	10981865	-	cation/H(+) antiporter 12-like
BnaA06g18790D	chrA06	11050736	11050984	+	uncharacterized protein At1g65710-like isoform X1
BnaA06g19530D	chrA06	12010517	12010603	-	--
BnaA06g20990D	chrA06	14596281	14596463	-	zingipain-2-like
BnaA06g22210D	chrA06	15518502	15518555	+	--
BnaA06g25810D	chrA06	17869877	17870098	+	glutathione S-transferase F4-like
BnaA06g25850D	chrA06	17904149	17905030	+	uncharacterized protein BNAA06G25850D
BnaA06g25870D	chrA06	17911065	17911316	+	uncharacterized protein LOC111199971
BnaA06g27520D	chrA06	18896976	18897128	+	--
BnaA06g27790D	chrA06	19098159	19099465	-	dnaJ homolog subfamily B member 1-like
BnaA06g28450D	chrA06	19560253	19561197	-	--
BnaA06g32860D	chrA06	21800637	21801006	+	--
BnaA06g33660D	chrA06	22342311	22343641	-	uncharacterized protein LOC106408325
BnaA06g36390D	chrA06	23847284	23847428	+	--
BnaA06g37820D	chrA06_random	191580	191756	+	--
BnaA06g37860D	chrA06_random	205313	206304	+	uncharacterized protein LOC111216233
BnaA06g38450D	chrA06_random	548816	549208	-	VQ motif-containing protein 1
BnaA07g01040D	chrA07	725361	725414	+	--
BnaA07g01490D	chrA07	1181868	1182613	-	protein transport Sec1b isoform X1
BnaA07g01500D	chrA07	1211648	1211857	+	RING-H2 finger protein ATL56
BnaA07g01540D	chrA07	1221684	1221878	-	--
BnaA07g01570D	chrA07	1231899	1237106	+	signal recognition particle receptor subunit beta-like
BnaA07g02110D	chrA07	1788079	1788246	-	60S ribosomal protein L8-3-like
BnaA07g02390D	chrA07	1993892	1995478	+	protein WUSCHEL-like
BnaA07g02590D	chrA07	2252453	2257455	-	syntaxin-21
BnaA07g02850D	chrA07	2494358	2494560	-	serine/threonine-protein kinase STY8-like
BnaA07g06400D	chrA07	6737962	6738018	-	--
BnaA07g06600D	chrA07	6909675	6910107	+	--
BnaA07g06640D	chrA07	6922691	6925192	-	--
BnaA07g07520D	chrA07	7820185	7820787	-	transcription factor bHLH144-like isoform X1
BnaA07g07970D	chrA07	8176604	8176768	+	--
BnaA07g17430D	chrA07	14600147	14600430	+	--
BnaA07g17470D	chrA07	14619393	14619639	-	--
BnaA07g19130D	chrA07	15433479	15435116	-	transcription factor PIF6 isoform X4
BnaA07g20930D	chrA07	16305667	16306347	+	acetyltransferase At1g77540-like
BnaA07g22120D	chrA07	16968374	16968667	+	mini zinc finger protein 1
BnaA07g22180D	chrA07	17017127	17018791	+	mitogen-activated protein kinase 2-like
BnaA07g22190D	chrA07	17021394	17021564	-	F-box protein At2g35280-like
BnaA07g22220D	chrA07	17038535	17040370	+	GDSL esterase/lipase At1g74460
BnaA07g23150D	chrA07	17473067	17474963	+	uncharacterized protein LOC106353766 isoform X1
BnaA07g23220D	chrA07	17506280	17508351	-	protein NRT1/ PTR FAMILY 5.11-like
BnaA07g23260D	chrA07	17521456	17523093	-	protein NRT1/ PTR FAMILY 5.14-like
BnaA07g23280D	chrA07	17527165	17527664	-	uncharacterized protein LOC111209117
BnaA07g23310D	chrA07	17537384	17537989	-	uncharacterized protein LOC111199496
BnaA07g23340D	chrA07	17561474	17562750	-	probable magnesium transporter NIPA4
BnaA07g24380D	chrA07	18241698	18241970	-	uncharacterized protein LOC106399789
BnaA07g24610D	chrA07	18419773	18420143	+	zinc finger protein CONSTANS-LIKE 6-like
BnaA07g27260D	chrA07	19851830	19852352	+	ACD11 homolog protein-like
BnaA07g27400D	chrA07	19920165	19920395	-	protein IDA
BnaA07g27700D	chrA07	20111461	20111511	-	--
BnaA07g27760D	chrA07	20155301	20155633	-	uncharacterized protein LOC106359967
BnaA07g28270D	chrA07	20417444	20417527	+	60S ribosomal protein L10-3-like
BnaA07g28650D	chrA07	20672856	20673000	-	--
BnaA07g29640D	chrA07	21152415	21153571	-	uncharacterized protein BNAA07G29640D
BnaA07g33150D	chrA07	22807338	22808087	-	--
BnaA07g33180D	chrA07	22827273	22827861	-	--
BnaA07g35100D	chrA07	23714965	23715087	-	wall-associated receptor kinase-like 10
BnaA07g35840D	chrA07	23978493	23978893	+	--
BnaA07g35890D	chrA07	23988061	23988346	-	--
BnaA07g36040D	chrA07_random	70313	73841	-	--
BnaA07g36100D	chrA07_random	104421	105296	-	probable serine/threonine-protein kinase PBL20
BnaA07g36120D	chrA07_random	130601	133861	-	uncharacterized protein LOC106354947
BnaA07g36150D	chrA07_random	168628	169188	-	defensin-like protein 295
BnaA07g36390D	chrA07_random	376593	377876	-	uncharacterized protein LOC106449279
BnaA07g37830D	chrA07_random	1312445	1312588	-	--
BnaA08g01360D	chrA08	1073308	1073879	+	uncharacterized protein LOC111213108
BnaA08g01370D	chrA08	1074452	1074649	+	--
BnaA08g01390D	chrA08	1096339	1096910	+	uncharacterized protein LOC111213108
BnaA08g02420D	chrA08	1894651	1894686	-	--
BnaA08g02880D	chrA08	2286254	2287485	+	--
BnaA08g05210D	chrA08	5187713	5188040	-	purple acid phosphatase 23 isoform X2
BnaA08g05510D	chrA08	5413605	5413925	+	uncharacterized protein BNAA08G05510D
BnaA08g05570D	chrA08	5482958	5483541	+	60S ribosomal protein L27-3
BnaA08g06040D	chrA08	5965960	5966658	+	uncharacterized protein LOC106359599
BnaA08g06060D	chrA08	5990041	5993203	-	"outer envelope pore protein 16-2
BnaA08g06700D	chrA08	6726084	6726362	-	--
BnaA08g07070D	chrA08	7108800	7108998	-	--
BnaA08g07550D	chrA08	7517462	7517628	-	--
BnaA08g09670D	chrA08	9179855	9179896	-	--
BnaA08g12800D	chrA08	11293188	11296504	+	"omega-6 fatty acid desaturase
BnaA08g12820D	chrA08	11301961	11302175	+	--
BnaA08g14570D	chrA08	12297948	12298271	+	--
BnaA08g14630D	chrA08	12324902	12326690	+	probable pectate lyase 18
BnaA08g14640D	chrA08	12327772	12329416	+	"31 kDa ribonucleoprotein
BnaA08g14670D	chrA08	12342558	12344884	-	protein S-acyltransferase 8-like
BnaA08g15150D	chrA08	12663983	12664108	-	--
BnaA08g15170D	chrA08	12674628	12675904	-	F-box protein At2g02240-like
BnaA08g15600D	chrA08	12962125	12962589	-	gibberellin-regulated protein 1-like
BnaA08g15770D	chrA08	13089801	13090179	-	putative phytosulfokines 4
BnaA08g16190D	chrA08	13296553	13297256	+	glucose-induced degradation protein 8 homolog
BnaA08g17440D	chrA08	13901572	13904671	-	CBL-interacting serine/threonine-protein kinase 23 isoform X1
BnaA08g22470D	chrA08	16321631	16321705	-	--
BnaA08g22490D	chrA08	16333874	16338770	+	protein IMPAIRED IN BABA-INDUCED STERILITY 1
BnaA08g28890D	chrA08	18865632	18866161	+	protein PSY3-like
BnaA08g28970D	chrA08	18906522	18906554	-	--
BnaA08g30010D	chrA08_random	1175293	1175717	-	ctenidin-3-like
BnaA09g00460D	chrA09	214317	214452	-	--
BnaA09g02920D	chrA09	1474525	1475131	+	uncharacterized protein LOC106362601
BnaA09g03990D	chrA09	1993939	1994531	-	--
BnaA09g06430D	chrA09	3155943	3156050	-	--
BnaA09g07140D	chrA09	3488169	3488744	-	uncharacterized protein BNAA09G07140D
BnaA09g08430D	chrA09	4152510	4152638	-	uncharacterized protein LOC106358001 isoform X2
BnaA09g08590D	chrA09	4303406	4307949	-	--
BnaA09g08640D	chrA09	4335351	4335977	-	uncharacterized protein LOC106449996
BnaA09g09220D	chrA09	4589289	4589498	+	RPM1-interacting protein 4-like
BnaA09g12330D	chrA09	6487066	6487630	+	--
BnaA09g12860D	chrA09	6878869	6879015	+	--
BnaA09g13500D	chrA09	7604402	7604491	+	uncharacterized protein LOC106357124 isoform X1
BnaA09g13510D	chrA09	7606216	7606416	+	uncharacterized protein BNAA09G13510D
BnaA09g15600D	chrA09	9087340	9091275	-	uncharacterized protein LOC106433770
BnaA09g15840D	chrA09	9297764	9298657	+	--
BnaA09g16020D	chrA09	9447545	9447692	-	--
BnaA09g16560D	chrA09	9966418	9970657	-	transcription factor bHLH92-like isoform X1
BnaA09g17350D	chrA09	10500364	10500582	-	--
BnaA09g17400D	chrA09	10533461	10533762	-	--
BnaA09g18590D	chrA09	11551443	11552113	-	"30S ribosomal protein S17
BnaA09g18610D	chrA09	11566483	11567447	-	DEAD-box ATP-dependent RNA helicase 16-like
BnaA09g19010D	chrA09	11951662	11953988	+	--
BnaA09g19030D	chrA09	11957107	11957139	-	--
BnaA09g20580D	chrA09	13420815	13422714	-	--
BnaA09g20590D	chrA09	13423686	13424064	-	--
BnaA09g20720D	chrA09	13505138	13506931	-	F-box/FBD/LRR-repeat protein At5g18770-like isoform X2
BnaA09g21210D	chrA09	13916779	13917093	+	--
BnaA09g21940D	chrA09	14571376	14571593	-	potassium transporter 3-like isoform X3
BnaA09g23950D	chrA09	16619823	16619927	-	--
BnaA09g23990D	chrA09	16720952	16721389	-	uncharacterized protein LOC106367097 isoform X1
BnaA09g24040D	chrA09	16741859	16742091	-	--
BnaA09g24090D	chrA09	16760865	16760969	-	--
BnaA09g24240D	chrA09	17006117	17006806	-	late embryogenesis abundant protein 6
BnaA09g24250D	chrA09	17007148	17009096	+	uncharacterized protein LOC106418727
BnaA09g24270D	chrA09	17023855	17026730	+	MND1-interacting protein 1-like isoform X1
BnaA09g25440D	chrA09	18499940	18500071	-	--
BnaA09g26280D	chrA09	19466077	19467845	+	--
BnaA09g28650D	chrA09	21548291	21548673	+	factor of DNA methylation 3-like isoform X2
BnaA09g28680D	chrA09	21610881	21611387	-	uncharacterized protein LOC106403689
BnaA09g28690D	chrA09	21611443	21611723	-	--
BnaA09g28920D	chrA09	21780569	21780743	+	--
BnaA09g30690D	chrA09	22850424	22850537	+	UDP-glycosyltransferase 85A2 isoform X1
BnaA09g30770D	chrA09	22907413	22907562	-	uncharacterized protein LOC106454785
BnaA09g31030D	chrA09	23068462	23070598	-	"pentatricopeptide repeat-containing protein At1g74600
BnaA09g31320D	chrA09	23369399	23369452	+	--
BnaA09g33120D	chrA09	24454354	24455184	+	uncharacterized protein LOC106364911
BnaA09g33150D	chrA09	24467767	24468407	-	protein BIC1
BnaA09g33220D	chrA09	24524822	24525037	-	--
BnaA09g33700D	chrA09	24797256	24797572	+	--
BnaA09g37320D	chrA09	26868741	26869540	-	LOB domain-containing protein 29
BnaA09g38310D	chrA09	27408712	27409471	+	uncharacterized protein LOC111200620
BnaA09g38390D	chrA09	27433564	27438366	+	"ATPase 7
BnaA09g38510D	chrA09	27484056	27484966	-	transcription factor DUO1-like
BnaA09g39850D	chrA09	28151546	28152456	+	probable cytochrome c oxidase subunit 5C-1 isoform X1
BnaA09g39890D	chrA09	28156895	28157774	+	uncharacterized protein BNAA09G39890D
BnaA09g43250D	chrA09	30015736	30016011	-	"30S ribosomal protein S31
BnaA09g43310D	chrA09	30037695	30037730	+	--
BnaA09g43730D	chrA09	30189492	30189941	+	uncharacterized protein BNAA09G43730D
BnaA09g44910D	chrA09	30775492	30776335	+	disease resistance protein CHS1
BnaA09g44960D	chrA09	30809900	30810841	+	--
BnaA09g47160D	chrA09	31815463	31815573	-	--
BnaA09g47710D	chrA09	32119765	32119894	-	--
